strategy,metric,3,4,5,6,7,8
lmp,profit,1419.1055836752266,1411.0348902360379,1406.3425357103417,1403.3393740897932,1401.3014764648683,1399.86689341592
lmp,users,84.0,84.0,84.0,84.0,84.0,84.0
lmp,cost,260.8944163247734,268.96510976396183,273.65746428965844,276.66062591020693,278.6985235351314,280.13310658408
lmp,deploy_cost,182.2533523833333,182.25348270476192,182.2536491126984,182.25381018412693,182.25395732857146,182.25407125
lmp,comm_cost,78.64106394144,86.71162705920001,91.40381517695997,94.40681572607998,96.44456620656001,97.87903533407999
lmp,nodes,1.0,1.0,1.0,1.0,1.0,1.0
lmp,avg_modules,3.0,4.0,5.0,6.0,7.0,8.0
lmp,chain_count,1.0,1.0,1.0,1.0,1.0,1.0
lmp,avg_cost_per_user,3.105885908628254,3.201965592428117,3.257826955829267,3.2935788798834174,3.317839565894422,3.334917935524762
lmp,avg_profit_per_user,16.894114091371744,16.798034407571883,16.742173044170734,16.706421120116584,16.682160434105576,16.66508206447524
lmp,ttft_ms,250.67001319725023,250.70632925048798,250.74363218704406,250.78132987692763,250.81823806015632,250.85386329507128
lmp,tpot_ms,4.976604873825533,5.006734402261073,5.036884169514665,5.067042032295476,5.097183704021849,5.127299065284753
lmp,queue_ms,0.0,0.0,0.0,0.0,0.0,0.0
lmp,prefill_pipeline_ms,214.7687020171355,214.8050180703733,214.84232100692932,214.88001869681295,214.91692688004167,214.95255211495655
lmp,decode_pipeline_interval_ms,4.492590568710788,4.522720097146325,4.552869864399917,4.583027727180733,4.613169398907103,4.6432847601700065
lmp,avg_chain_time,0.00018665832208671112,0.0002368000014462821,0.0002759079400833881,0.00032296192107924117,0.00035996309902868454,0.00041588333099041116
lmp,total_deploy_time,0.00018665832208671112,0.0002368000014462821,0.0002759079400833881,0.00032296192107924117,0.00035996309902868454,0.00041588333099041116
lmp,mean_chain_length,0.0,0.0,0.0,0.0,0.0,0.0
multi_max_profit,profit,1918.7772331485826,1916.867128635901,1880.4243376310783,1831.185492740391,1790.2105472850362,1794.9985343854887
multi_max_profit,users,131.58333333333334,137.17857142857142,139.35714285714286,137.73809523809524,134.42857142857142,133.36111111111111
multi_max_profit,cost,712.8894335180844,826.7042999355274,906.718519511779,923.5764120215134,898.3608812863922,872.2236878367335
multi_max_profit,deploy_cost,224.9296799777778,229.9481442761905,231.90231614761905,230.45046247936503,227.4824453738095,226.5252501
multi_max_profit,comm_cost,487.9597535403066,596.7561556593372,674.8162033641601,693.1259495421486,670.8784359125831,645.6984377367332
multi_max_profit,nodes,2.0833333333333335,2.3095238095238093,2.507936507936508,2.619047619047619,2.630952380952381,2.5277777777777777
multi_max_profit,avg_modules,1.5138888888888888,1.8452380952380953,2.1395502645502646,2.4563492063492065,2.8402777777777777,3.3333333333333335
multi_max_profit,chain_count,1.0,1.0,1.0,1.0,1.0,1.0
multi_max_profit,avg_cost_per_user,5.247821194917639,5.858193045105918,6.341854734132538,6.525929745549439,6.50347108015473,6.413283539494064
multi_max_profit,avg_profit_per_user,14.752178805082359,14.141806954894083,13.658145265867466,13.474070254450563,13.496528919845266,13.586716460505937
multi_max_profit,ttft_ms,381.7016779524503,401.32656523921185,416.5682330210759,419.35386667276254,413.4291865791659,409.37330337044904
multi_max_profit,tpot_ms,5.514169371813579,5.546554687329776,5.608794222453923,5.632536223970639,5.615716410647947,5.644125701010098
multi_max_profit,queue_ms,3.1579677144893348e-15,4.060244204343431e-15,2.2556912246352393e-15,1.3534147347811435e-15,2.0301221021717155e-15,3.1579677144893348e-15
multi_max_profit,prefill_pipeline_ms,344.8487001056689,364.36168263052565,379.5597789838182,382.37779358788583,376.5193039704797,372.484769968112
multi_max_profit,decode_pipeline_interval_ms,4.9825717333655,5.009361810786456,5.069422774482036,5.094783823617797,5.081273534104629,5.110750284784241
multi_max_profit,avg_chain_time,0.0008583277683808028,0.0012711595239427737,0.0016082690544573792,0.001872372220358983,0.0022699416676047876,0.0027044361082112084
multi_max_profit,total_deploy_time,0.0008583277683808028,0.0012711595239427737,0.0016082690544573792,0.001872372220358983,0.0022699416676047876,0.0027044361082112084
multi_max_profit,mean_chain_length,2.6666666666666665,3.5476190476190474,4.253968253968254,4.603174603174603,4.690476190476191,4.611111111111111
multi_max_user,profit,1775.6198621341957,1792.8762301441027,1749.2332027018579,1676.7480921580166,1594.5907424276572,1482.6030893046757
multi_max_user,users,140.91666666666666,151.86904761904762,155.38888888888889,155.17460317460316,152.97619047619048,148.02777777777777
multi_max_user,cost,1042.7134711991375,1244.5047222368496,1358.5445750759197,1426.7439713340468,1464.9330670961524,1477.95246625088
multi_max_user,deploy_cost,233.30051262777775,243.12368180238096,246.2808400428571,246.088942731746,244.11748958809525,239.67953566666665
multi_max_user,comm_cost,809.41295857136,1001.3810404344688,1112.2637350330629,1180.6550286023007,1220.8155775080572,1238.2729305842136
multi_max_user,nodes,2.4722222222222223,2.892857142857143,3.1825396825396823,3.4126984126984126,3.5952380952380953,3.75
multi_max_user,avg_modules,1.2638888888888888,1.472222222222222,1.6534391534391535,1.8214285714285714,1.9930555555555554,2.166666666666667
multi_max_user,chain_count,1.0,1.0,1.0,1.0,1.0,1.0
multi_max_user,avg_cost_per_user,7.382755019481722,8.20383652803941,8.780645605375703,9.264489912180329,9.667748808770687,10.090500340010758
multi_max_user,avg_profit_per_user,12.617244980518276,11.79616347196059,11.219354394624297,10.735510087819671,10.332251191229313,9.909499659989242
multi_max_user,ttft_ms,454.5583465305836,478.2270424829451,494.36632880530436,512.8194226964323,534.6725204976422,562.15108087516
multi_max_user,tpot_ms,6.134864240910739,6.391333198362243,6.49691813349449,6.640947795498779,6.88232021816397,7.2070406251493955
multi_max_user,queue_ms,9.473903143468005e-15,5.413658939124574e-15,3.1579677144893348e-15,3.1579677144893348e-15,3.3835368369528586e-15,1.5789838572446674e-15
multi_max_user,prefill_pipeline_ms,417.5187020171355,440.96835035044944,457.03723984741174,475.4946194528255,497.3916855080036,524.96921413949
multi_max_user,decode_pipeline_interval_ms,5.593933269129327,5.839449845628449,5.941514939490855,6.085758887209429,6.3293297225730365,6.658998542256871
multi_max_user,avg_chain_time,0.0008612416568211694,0.0013138916554106357,0.001630238894860965,0.0019468309501895077,0.002356573800733706,0.0028539083561756056
multi_max_user,total_deploy_time,0.0008612416568211694,0.0013138916554106357,0.001630238894860965,0.0019468309501895077,0.002356573800733706,0.0028539083561756056
multi_max_user,mean_chain_length,4.166666666666667,5.309523809523809,6.126984126984127,6.73015873015873,7.166666666666667,7.5
shortest_path,profit,1419.1055836752266,1411.0348902360379,1406.3425357103417,1403.3393740897932,1401.3014764648683,1399.86689341592
shortest_path,users,84.0,84.0,84.0,84.0,84.0,84.0
shortest_path,cost,260.8944163247734,268.96510976396183,273.6574642896584,276.66062591020693,278.69852353513136,280.13310658408
shortest_path,deploy_cost,182.2533523833333,182.25348270476192,182.2536491126984,182.25381018412693,182.25395732857146,182.25407125
shortest_path,comm_cost,78.64106394144,86.71162705920001,91.40381517695997,94.40681572607998,96.44456620656001,97.87903533407999
shortest_path,nodes,1.0,1.0,1.0,1.0,1.0,1.0
shortest_path,avg_modules,3.0,4.0,5.0,6.0,7.0,8.0
shortest_path,chain_count,1.0,1.0,1.0,1.0,1.0,1.0
shortest_path,avg_cost_per_user,3.1058859086282533,3.201965592428117,3.257826955829266,3.293578879883415,3.317839565894421,3.334917935524762
